
admin,Banker closed the system.,2021-05-27 17:58:09,main

System accessed at: 2021-05-27 17:59:49, , , thread_name
admin,Connected to the admin system,2021-05-27 17:59:52,main
admin,Banker administrative side option selected: 2,2021-05-27 17:59:54,main
admin,Banker administrative side option selected: 4,2021-05-27 18:00:17,main
admin,Banker administrative side option selected: 1,2021-05-27 18:00:19,main
admin,Banker customer side option selected: 1,2021-05-27 18:00:29,main
admin,Banker closed the system.,2021-05-27 18:00:29,main

System accessed at: 2021-05-27 18:01:12, , , thread_name
admin,Connected to the admin system,2021-05-27 18:01:14,main
admin,Banker administrative side option selected: 4,2021-05-27 18:01:16,main
admin,Banker administrative side option selected: 2,2021-05-27 18:01:18,main
admin,Banker administrative side option selected: 0,2021-05-27 18:01:36,main
admin,Banker closed the system.,2021-05-27 18:01:36,main

System accessed at: 2021-05-27 18:02:23, , , thread_name
admin,Connected to the admin system,2021-05-27 18:02:26,main
admin,Banker administrative side option selected: 2,2021-05-27 18:02:29,main
admin,Banker administrative side option selected: 4,2021-05-27 18:02:49,main
admin,Banker administrative side option selected: 0,2021-05-27 18:02:52,main
admin,Banker closed the system.,2021-05-27 18:02:52,main

System accessed at: 2021-05-27 18:04:05, , , thread_name
admin,Connected to the admin system,2021-05-27 18:04:08,main
admin,Banker administrative side option selected: 2,2021-05-27 18:04:10,main
admin,Banker administrative side option selected: 4,2021-05-27 18:04:23,main
admin,Banker administrative side option selected: 0,2021-05-27 18:04:25,main
admin,Banker closed the system.,2021-05-27 18:04:25,main

System accessed at: 2021-05-27 18:06:39, , , thread_name
admin,Connected to the admin system,2021-05-27 18:06:42,main
admin,Banker administrative side option selected: 2,2021-05-27 18:06:46,main
admin,Banker administrative side option selected: 4,2021-05-27 18:07:11,main

System accessed at: 2021-05-27 18:07:42, , , thread_name
admin,Connected to the admin system,2021-05-27 18:07:45,main
admin,Banker administrative side option selected: 2,2021-05-27 18:07:46,main
admin,Banker administrative side option selected: 4,2021-05-27 18:08:20,main
admin,Banker administrative side option selected: 0,2021-05-27 18:08:23,main

System accessed at: 2021-05-27 18:08:58, , , thread_name
admin,Connected to the admin system,2021-05-27 18:09:00,main
admin,Banker administrative side option selected: 2,2021-05-27 18:09:02,main
admin,Banker administrative side option selected: 0,2021-05-27 18:09:36,main
admin,Banker closed the system.,2021-05-27 18:09:36,main

System accessed at: 2021-05-27 18:18:28, , , thread_name
admin,Connected to the admin system,2021-05-27 18:18:31,main
admin,Banker administrative side option selected: 4,2021-05-27 18:18:32,main
admin,Banker administrative side option selected: 2,2021-05-27 18:18:37,main
admin,Banker administrative side option selected: 4,2021-05-27 18:19:39,main
admin,Banker administrative side option selected: 3,2021-05-27 18:19:44,main
admin,Banker administrative side option selected: 4,2021-05-27 18:20:15,main
admin,Banker administrative side option selected: 0,2021-05-27 18:20:18,main
admin,Banker closed the system.,2021-05-27 18:20:18,main

